player,player_id,team,position,age,rookie,war_mean_2021,war_mean_2022,war_mean_2023,war_mean_2024,war_mean_2025,5_year_WAR,2021_category
Draymond Green,greendr01,Warriors,PF,30.915812,,3.4,2.5,1.6,1.1,0.6,9.3,KEY ROLE PLAYER
Gary Harris,harriga01,Nuggets,SG,26.384668,,2.6,2.2,1.8,1.4,1.2,9.3,ROTATION PLAYER
Shamorie Ponds,pondssh01,,PG,23.593428,1,1.7,1.8,1.8,2.0,1.9,9.3,OK PROSPECT
Al Horford,horfoal01,Thunder,C,34.666668,,3.8,2.9,1.6,0.6,0.3,9.2,KEY ROLE PLAYER
Justin Holiday,holidju01,Pacers,SG,31.827515,,3.3,2.4,1.5,1.2,0.6,9.0,ROTATION PLAYER
Theo Maledon,maledth01,Thunder,PG,19.641342,1,0.6,1.0,1.5,2.8,3.0,8.9,GOOD PROSPECT
Jarrett Culver,culveja01,Timberwolves,SG,21.94935,,1.1,1.6,1.9,2.2,2.1,8.9,PROJECT
Tomas Satoransky,satorto01,Bulls,SG,29.259411,,2.5,2.3,1.8,1.3,0.9,8.9,ROTATION PLAYER
Jaxson Hayes,hayesja02,Pelicans,C,20.695414,,0.3,1.7,2.0,2.5,2.2,8.7,PROJECT
Desmond Bane,banede01,Grizzlies,SG,22.606434,1,0.8,1.6,2.0,2.1,2.1,8.7,OK PROSPECT
Wendell Carter Jr.,cartewe01,Bulls,C,21.798767,,1.1,1.7,1.9,2.1,1.9,8.7,ROTATION PLAYER
Lauri Markkanen,markkla01,Bulls,PF,23.698837,,1.5,1.9,1.7,1.8,1.6,8.7,ROTATION PLAYER
Danuel House Jr.,houseda01,Rockets,SF,27.655031,,2.4,2.0,1.7,1.5,1.0,8.6,ROTATION PLAYER
Landry Shamet,shamela01,Nets,SG,23.890486,,1.8,1.9,1.7,1.6,1.5,8.6,ROTATION PLAYER
Romeo Langford,langfro01,Celtics,SF,21.2731,,0.9,1.4,2.2,1.9,2.1,8.5,ROTATION PLAYER
Terrence Ross,rosste01,Magic,SG,29.990417,,2.9,2.2,1.6,1.0,0.6,8.5,ROTATION PLAYER
Kelly Olynyk,olynyke01,Heat,PF,29.790554,,2.6,2.2,1.6,1.2,0.8,8.5,ROTATION PLAYER
Jevon Carter,carteje01,Suns,PG,25.385353,,1.8,1.8,1.8,1.6,1.4,8.4,ROTATION PLAYER
RJ Barrett,barrerj01,Knicks,SF,20.635181,,0.3,1.4,1.7,2.4,2.7,8.4,UP-AND-COMER
Vit Krejci,krejcvi01,,PG,20.621492,1,0.7,1.1,1.6,2.4,2.6,8.3,GOOD PROSPECT
James Young,youngja01,Knicks,SF,19.4647502,1,0.3,1.2,1.8,2.3,2.6,8.3,GOOD PROSPECT
Svi Mykhailiuk,mykhasv01,Pistons,SF,23.646818,,1.4,1.7,1.7,1.8,1.6,8.2,ROTATION PLAYER
Nickeil Alexander-Walker,alexani01,Pelicans,SG,22.417522,,1.3,1.5,1.6,1.9,1.9,8.2,ROTATION PLAYER
Luka Samanic,samanlu01,Spurs,PF,21.065023,1,0.7,1.1,1.6,2.7,2.0,8.2,GOOD PROSPECT
Cole Anthony,anthoco01,Magic,PG,20.717316,1,0.0,1.3,1.9,2.3,2.6,8.1,GOOD PROSPECT
Dylan Windler,windldy01,Cavaliers,SF,23.359343,1,1.3,1.7,1.8,1.8,1.6,8.1,OK PROSPECT
Tyus Jones,jonesty01,Grizzlies,PG,24.731007,,1.7,1.8,1.7,1.5,1.4,8.1,ROTATION PLAYER
Jabari Parker,parkeja01,Kings,PF,25.886379,,2.0,2.0,1.6,1.4,1.1,8.1,ROTATION PLAYER
Keenan Evans,evanske01,,PG,22.442162,1,1.6,1.5,2.0,1.3,1.7,8.1,GOOD PROSPECT
Marvin Bagley III,baglema01,Kings,C,21.889116,,0.9,1.2,2.0,2.0,1.9,8.0,PROJECT
Issuf Sanon,sanonis01,,PG,21.259411,1,0.8,1.1,2.1,1.5,2.5,8.0,OK PROSPECT
Tre Jones,jonestr01,Spurs,PG,21.06776,1,0.4,1.5,1.6,2.1,2.5,8.0,OK PROSPECT
Elfrid Payton,paytoel01,Knicks,PG,26.94319,,2.1,1.9,1.6,1.4,1.0,8.0,ROTATION PLAYER
LaMarcus Aldridge,aldrila01,Spurs,C,35.540043,,3.8,2.1,1.1,0.5,0.4,8.0,AVERAGE STARTER
Brook Lopez,lopezbr01,Bucks,C,32.837784,,3.2,2.3,1.3,0.8,0.4,8.0,ROTATION PLAYER
Deividas Sirvydis,sirvyde01,Pistons,SF,20.646133,1,0.8,1.0,1.4,2.6,2.0,7.9,OK PROSPECT
Damion Lee,leeda03,Warriors,SG,28.281998,,2.2,1.8,1.7,1.3,0.9,7.8,ROTATION PLAYER
Luke Kennard,kennalu01,Clippers,SG,24.607803,,1.7,1.6,1.7,1.5,1.3,7.8,ROTATION PLAYER
Cassius Winston,winstca01,Wizards,PG,22.926762,1,0.9,1.5,1.7,1.7,2.0,7.8,OK PROSPECT
Josh Green,greenjo02,Mavericks,SG,20.210814,1,0.0,1.1,1.7,2.3,2.6,7.8,GOOD PROSPECT
Andrew Wiggins,wiggian01,Warriors,SF,25.941135,,2.2,2.1,1.5,1.1,0.9,7.8,AVERAGE STARTER
Leandro Bolmaro,bolmale01,,SG,20.391512,1,0.5,0.8,1.4,2.5,2.6,7.8,GOOD PROSPECT
Joe Ingles,inglejo01,Jazz,SF,33.336071,,3.0,2.2,1.5,0.7,0.4,7.8,ROTATION PLAYER
Will Barton,bartowi01,Nuggets,SG,30.072554,,2.8,2.0,1.4,0.9,0.5,7.8,ROTATION PLAYER
Monte Morris,morrimo01,Nuggets,PG,25.601643,,1.8,1.9,1.6,1.4,1.2,7.7,ROTATION PLAYER
De'Andre Hunter,huntede01,Hawks,SF,23.167694,,1.2,1.5,1.8,1.6,1.6,7.7,PROJECT
Jontay Porter,portejo01,Grizzlies,C,20.213551,1,0.5,1.0,1.3,2.4,2.6,7.7,GOOD PROSPECT
Tony Carr,carrto01,Pelicans,PG,21.308691,1,0.9,1.2,1.9,1.4,2.2,7.7,GOOD PROSPECT
Isaac Okoro,okorois01,Cavaliers,SG,20.016426,1,-0.6,1.0,1.8,2.4,3.1,7.6,OK PROSPECT
Mike Conley,conlemi01,Jazz,PG,33.311432,,3.4,2.2,1.1,0.6,0.3,7.6,KEY ROLE PLAYER
Trey Burke,burketr01,Mavericks,PG,28.221766,,2.3,1.8,1.6,1.2,0.8,7.6,KEY ROLE PLAYER
Dario Saric,saricda01,Suns,PF,26.819986,,2.1,1.8,1.5,1.2,0.9,7.6,ROTATION PLAYER
Garrison Mathews,mathega01,Wizards,SG,24.273785,,2.1,1.8,1.4,1.1,1.1,7.5,<SHRUGGIE>
Zach Collins,colliza01,Trail Blazers,C,23.203285,,1.5,1.7,1.6,1.5,1.2,7.5,ROTATION PLAYER
Richaun Holmes,holmeri01,Kings,C,27.29911,,2.2,1.7,1.5,1.2,0.9,7.5,ROTATION PLAYER
Chris Boucher,bouchch01,Raptors,PF,28.057495,,2.1,1.5,1.3,1.4,1.1,7.4,KEY ROLE PLAYER
Kevin Love,loveke01,Cavaliers,C,32.402466,,2.9,2.0,1.2,0.8,0.4,7.3,ROTATION PLAYER
Malik Beasley,beaslma01,Timberwolves,SG,24.183435,,1.4,1.6,1.5,1.4,1.3,7.3,ROTATION PLAYER
P.J. Washington,washipj01,Hornets,PF,22.444901,,1.1,1.5,1.6,1.6,1.3,7.2,PROJECT
Moritz Wagner,wagnemo01,Wizards,C,23.770021,,1.2,1.5,1.5,1.7,1.3,7.2,ROTATION PLAYER
Jalen McDaniels,mcdanja01,Hornets,PF,23.003422,,1.3,1.4,1.6,1.5,1.3,7.1,ROTATION PLAYER
Kentavious Caldwell-Pope,caldwke01,Lakers,SG,27.953457,,2.2,1.8,1.4,1.0,0.7,7.0,ROTATION PLAYER
Willie Cauley-Stein,caulewi01,Mavericks,C,27.457905,,1.9,1.6,1.4,1.2,0.9,7.0,ROTATION PLAYER
Caleb Martin,martica02,Hornets,SF,25.347023,,1.6,1.5,1.6,1.2,1.0,7.0,ROTATION PLAYER
Jerami Grant,grantje01,Pistons,PF,26.893908,,2.3,1.7,1.4,1.0,0.6,6.9,AVERAGE STARTER
Paul Reed,reedpa01,76ers,PF,21.637234,1,0.5,1.0,1.5,1.9,2.0,6.9,OK PROSPECT
Tremont Waters,watertr01,Celtics,PG,23.060917,,0.4,1.5,1.9,1.7,1.3,6.8,ROTATION PLAYER
Grant Williams,willigr01,Celtics,PF,22.173853,,1.2,1.5,1.6,1.5,1.1,6.8,ROTATION PLAYER
Joe Harris,harrijo01,Nets,SF,29.407255,,2.1,1.9,1.3,0.9,0.6,6.8,ROTATION PLAYER
Jae Crowder,crowdja01,Suns,SF,30.576317,,2.8,1.8,1.2,0.7,0.4,6.8,ROTATION PLAYER
Kenrich Williams,willike04,Thunder,SF,26.168377,,1.5,1.7,1.3,1.1,1.1,6.8,ROTATION PLAYER
Devon Dotson,dotsode01,Bulls,PG,22.503078,1,1.1,1.2,1.3,1.6,1.6,6.7,OK PROSPECT
Jordan Clarkson,clarkjo01,Jazz,SG,28.654346,,2.1,1.7,1.3,0.9,0.6,6.7,ROTATION PLAYER
Skylar Mays,mayssk01,Hawks,PG,23.408623,1,0.7,1.3,1.5,1.6,1.6,6.6,OK PROSPECT
