player,player_id,team,position,age,rookie,war_mean_2021,war_mean_2022,war_mean_2023,war_mean_2024,war_mean_2025,5_year_WAR,2021_category
Jalen Lecque,lecquja01,Pacers,PG,19.637918,1,-0.2,0.1,0.4,0.4,0.8,1.6,MARGINAL PROSPECT
Xavier Rathan-Mayes,rathaxa01,,SG,26.762491,,0.0,0.3,0.4,0.5,0.4,1.6,SCRUB
Garrett Temple,templga01,Bulls,SG,34.73785,,1.0,0.4,0.2,0.0,0.0,1.5,ROTATION PLAYER
Lou Williams,willilo02,Clippers,SG,34.266941,,1.1,0.3,0.2,0.0,0.0,1.5,ROTATION PLAYER
Patrick McCaw,mccawpa01,Raptors,SG,25.2731,,0.2,0.3,0.4,0.3,0.3,1.5,SCRUB
Trevor Ariza,arizatr01,Thunder,SF,35.59206,,1.0,0.4,0.1,0.0,0.0,1.5,SCRAPPY VETERAN
Xavier Sneed,sneedxa01,Hornets,SF,23.115675,1,0.1,0.2,0.4,0.4,0.5,1.5,MARGINAL PROSPECT
Georgios Papagiannis,papagge01,,C,23.583847,,0.1,0.2,0.2,0.4,0.6,1.5,DEFENSIVE SPECIALIST
Charles Matthews,matthch01,Cavaliers,SF,23.211498,1,0.1,0.3,0.4,0.4,0.3,1.5,MARGINAL PROSPECT
Matthew Dellavedova,dellama01,Cavaliers,PG,30.401094,,0.7,0.3,0.3,0.1,0.1,1.5,ROTATION PLAYER
Brandon Sampson,sampsbr01,,SG,23.75633,,0.1,0.3,0.3,0.4,0.3,1.5,PROJECT
Marko Guduric,gudurma01,,SF,25.905544,,0.2,0.3,0.4,0.3,0.3,1.5,SCRUB
Malik Fitts,fittsma01,,PF,23.581108,1,0.0,0.2,0.3,0.4,0.5,1.5,MARGINAL PROSPECT
Julian Washburn,washbju01,,SF,29.125257,,0.3,0.4,0.4,0.3,0.1,1.5,ROTATION PLAYER
Devin Cannady,cannade01,Magic,PG,23.70089,1,0.2,0.3,0.4,0.3,0.4,1.4,MARGINAL PROSPECT
Zavier Simpson,simpsza01,,PG,23.972622,1,0.2,0.3,0.4,0.2,0.4,1.4,MARGINAL PROSPECT
Harrison Barnes,barneha02,Kings,PF,28.676249,,0.8,0.5,0.2,0.0,-0.1,1.4,DUBIOUS STARTER
Tyrone Wallace,wallaty01,,SG,26.647501,,0.2,0.3,0.3,0.3,0.3,1.4,SCRUB
Nathan Knight,knighna01,Hawks,PF,23.367556,1,0.0,0.2,0.3,0.4,0.5,1.4,MARGINAL PROSPECT
Kevon Harris,kevon-harris-1,,SG,23.608488,1,0.1,0.2,0.4,0.4,0.4,1.4,MARGINAL PROSPECT
Dewayne Dedmon,dedmode01,,C,31.474333,,0.7,0.6,0.1,0.1,0.0,1.4,ROTATION PLAYER
Joe Young,youngjo01,,PG,28.599588,,0.3,0.3,0.3,0.3,0.2,1.4,ROTATION PLAYER
Iman Shumpert,shumpim01,,SG,30.603697,,0.8,0.3,0.2,0.1,0.0,1.4,ROTATION PLAYER
Anthony Lamb,lamban01,,SF,23.033537,1,0.0,0.2,0.3,0.4,0.5,1.4,MARGINAL PROSPECT
Thomas Welsh,welshth01,,C,22.996578,1,0.0,0.1,0.4,0.4,0.5,1.4,MARGINAL PROSPECT
Grant Riller,rillegr01,Hornets,SG,23.980835,1,0.0,0.2,0.4,0.4,0.4,1.4,MARGINAL PROSPECT
Isaiah Canaan,canaais01,,PG,29.702944,,0.5,0.4,0.2,0.2,0.0,1.3,ROTATION PLAYER
Jabari Bird,birdja01,,SG,26.584532,,0.3,0.2,0.2,0.3,0.3,1.3,ROTATION PLAYER
Ignas Brazdeikis,brazdig01,Knicks,PF,23.065023,1,0.0,0.2,0.3,0.4,0.3,1.3,MARGINAL PROSPECT
Bruno Fernando,fernabr01,Hawks,C,22.466805,,0.1,0.3,0.3,0.4,0.3,1.3,PROJECT
Ade Murkey,murkead01,Timberwolves,SG,23.008898,1,0.1,0.2,0.3,0.3,0.4,1.3,MARGINAL PROSPECT
Tim Frazier,fraziti01,,PG,30.253252,,0.6,0.3,0.3,0.1,0.1,1.3,ROTATION PLAYER
Jordan McRae,mcraejo01,,SG,29.850786,,0.4,0.4,0.3,0.2,0.1,1.3,SCRUB
Gary Clark,clarkga01,Magic,PF,26.212183,,0.4,0.3,0.3,0.1,0.1,1.3,SCRUB
BJ Johnson,johnsbj01,Heat,SF,25.117043,,0.2,0.3,0.3,0.3,0.2,1.3,SCRUB
Troy Williams,willitr02,,SF,26.091719,,0.3,0.3,0.3,0.2,0.2,1.3,SCRUB
Treveon Graham,grahatr01,Bucks,SG,27.263517,,0.2,0.3,0.2,0.3,0.2,1.3,SCRUB
Jaden McDaniels,mcdanja02,Timberwolves,PF,20.34223,1,-0.5,-0.1,0.3,0.6,0.9,1.2,MARGINAL PROSPECT
Bryn Forbes,forbebr01,Bucks,SG,27.529089,,0.3,0.3,0.3,0.3,0.2,1.2,SCRUB
Jaron Blossomgame,blossja01,,SF,27.378508,,0.3,0.3,0.2,0.3,0.1,1.2,SCRUB
Sam Dekker,dekkesa01,,PF,26.743326,,0.3,0.3,0.2,0.2,0.2,1.2,SCRUB
Jae'Sean Tate,tateja01,Rockets,PF,23.264887,1,0.1,0.2,0.3,0.3,0.4,1.2,MARGINAL PROSPECT
Justin Wright-Foreman,wrighju02,,PG,24.264202,1,0.1,0.3,0.3,0.4,0.2,1.2,MARGINAL PROSPECT
Charlie Brown Jr.,brownch02,Timberwolves,SG,22.997263,1,0.0,0.2,0.3,0.3,0.3,1.2,MARGINAL PROSPECT
Austin Wiley,austin-wiley-1,,C,22.067076,1,0.0,0.1,0.3,0.3,0.5,1.2,MARGINAL PROSPECT
Doug McDermott,mcderdo01,Pacers,SF,29.081451,,0.4,0.4,0.2,0.1,0.1,1.2,SCRUB
Jahlil Tripp,trippja01,,SF,23.362082,1,0.1,0.2,0.3,0.3,0.3,1.2,MARGINAL PROSPECT
Deyonta Davis,davisde01,,C,24.167009,,0.1,0.2,0.4,0.3,0.2,1.2,DEFENSIVE SPECIALIST
Tony Snell,snellto01,Hawks,SG,29.229296,,0.4,0.5,0.2,0.1,0.1,1.2,SCRUB
Brice Johnson,johnsbr02,,PF,26.600958,,0.2,0.2,0.1,0.2,0.4,1.2,ROTATION PLAYER
E'Twaun Moore,mooreet01,Suns,SG,31.934292,,0.6,0.3,0.2,0.1,0.0,1.2,SCRUB
Nenad Dimitrijevic,nenad-dimitrijevic-1,,PG,22.940453,1,0.1,0.2,0.3,0.2,0.3,1.2,MARGINAL PROSPECT
Myke Henry,henrymy01,,SF,28.109514,,0.3,0.3,0.3,0.3,0.1,1.2,SCRUB
Marko Simonovic,simonma01,,C,21.30048,1,-0.3,0.2,0.2,0.7,0.3,1.2,MARGINAL PROSPECT
Trevon Bluiett,bluietr01,Jazz,SG,24.245037,1,0.0,0.1,0.3,0.3,0.4,1.1,MARGINAL PROSPECT
Marcus Georges-Hunt,georgma01,,SG,26.850103,,0.2,0.2,0.2,0.3,0.3,1.1,SCRUB
Andre Iguodala,iguodan01,Heat,SF,37.013004,,0.8,0.2,0.1,0.1,0.0,1.1,SCRAPPY VETERAN
Nigel Hayes,hayesni01,,SF,26.130049,,0.1,0.4,0.3,0.2,0.2,1.1,SCRUB
Josh Magette,magetjo01,,PG,31.178644,,0.5,0.4,0.2,0.0,0.0,1.1,<SHRUGGIE>
Tyler Zeller,zellety01,Spurs,C,31.041752,,0.6,0.2,0.2,0.1,0.1,1.1,<SHRUGGIE>
Georges Niang,niangge01,Jazz,PF,27.627653,,0.3,0.3,0.2,0.3,0.1,1.1,SCRUB
Ian Mahinmi,mahinia01,,C,34.242298,,0.6,0.3,0.2,0.0,0.0,1.1,ROTATION PLAYER
Aron Baynes,baynear01,Raptors,C,34.149212,,0.7,0.3,0.1,0.0,0.0,1.1,ROTATION PLAYER
Deng Adel,adelde01,,SF,24,,0.0,0.3,0.3,0.4,0.1,1.1,PROJECT
Jordan Bowden,bowdejo01,,SG,24.032854,1,0.0,0.2,0.3,0.3,0.3,1.1,MARGINAL PROSPECT
Milton Doyle,doylemi01,,SG,27.255304,,0.1,0.2,0.2,0.3,0.3,1.1,SCRUB
Glenn Robinson III,robingl02,Kings,SF,27.066393,,0.2,0.2,0.2,0.2,0.1,1.1,SCRUB
Jalen Jones,jonesja04,,SF,27.685146,,0.3,0.2,0.2,0.2,0.1,1.1,SCRUB
Nick Richards,richani01,Hornets,C,23.175905,1,-0.1,0.1,0.3,0.3,0.4,1.0,MARGINAL PROSPECT
Dwayne Sutton,suttodw01,Warriors,SF,23.931553,1,0.0,0.1,0.3,0.3,0.3,1.0,MARGINAL PROSPECT
Caleb Homesley,homesca01,Wizards,SG,24.180698,1,0.0,0.2,0.3,0.3,0.3,1.0,MARGINAL PROSPECT
Vic Law,lawvi01,,SF,24.122519,1,0.0,0.1,0.3,0.3,0.4,1.0,MARGINAL PROSPECT
Norvel Pelle,pelleno01,,C,27.994524,,0.1,0.3,0.3,0.2,0.1,1.0,SCRUB
Brandon Jennings,jennibr01,,PG,31.359343,,0.5,0.3,0.1,0.1,0.0,1.0,ROTATION PLAYER
Karim Mane,maneka01,Magic,PG,20.714579,1,-0.2,0.1,0.3,0.3,0.4,1.0,MARGINAL PROSPECT
Tyler Cook,cookty01,Timberwolves,PF,22.414101,1,0.0,0.1,0.3,0.3,0.3,1.0,MARGINAL PROSPECT
Tyler Johnson,johnsty01,Nets,PG,28.73922,,0.3,0.3,0.2,0.1,0.1,1.0,SCRUB
Admiral Schofield,schofad01,Thunder,SF,23.843943,,0.0,0.3,0.3,0.3,0.2,1.0,PROJECT
Harry Giles III,gilesha01,Trail Blazers,C,22.781656,,0.0,0.1,0.2,0.3,0.3,1.0,PROJECT
Antonius Cleveland,clevean01,,SG,26.997946,,0.2,0.2,0.1,0.3,0.3,1.0,SCRUB
Lorenzo Brown,brownlo01,,PG,30.436687,,0.4,0.2,0.3,0.0,0.0,1.0,ROTATION PLAYER
Lamar Stevens,stevela01,Cavaliers,PF,23.567419,1,-0.1,0.1,0.3,0.3,0.4,1.0,MARGINAL PROSPECT
Omri Casspi,casspom01,,SF,32.613277,,0.5,0.2,0.2,0.1,0.1,1.0,ROTATION PLAYER
Malik Monk,monkma01,Hornets,SG,22.992472,,-0.3,0.1,0.3,0.4,0.5,1.0,PROJECT
Chris Silva,silvach01,Heat,PF,24.36961,,0.1,0.1,0.3,0.1,0.2,0.9,PROJECT
Shabazz Muhammad,muhamsh01,,SF,28.219028,,0.3,0.2,0.2,0.2,0.0,0.9,ROTATION PLAYER
Paul Zipser,zipsepa01,,SF,26.954142,,0.2,0.2,0.1,0.2,0.2,0.9,SCRUB
Devontae Cacok,cacokde01,Lakers,PF,23.317591,1,0.0,0.1,0.2,0.2,0.3,0.9,MARGINAL PROSPECT
Wayne Ellington,ellinwa01,Pistons,SG,33.177277,,0.5,0.2,0.1,0.1,0.0,0.9,SCRUB
KZ Okpala,okpalkz01,Heat,SF,22.763859,1,-0.1,0.1,0.2,0.4,0.3,0.9,MARGINAL PROSPECT
Ike Anigbogu,anigbik01,Pelicans,C,19.28063,1,-0.2,-0.1,0.2,0.3,0.7,0.9,OK PROSPECT
Frank Jackson,jacksfr01,Thunder,PG,22.748802,,-0.1,0.1,0.2,0.3,0.4,0.9,PROJECT
Brandon Paul,paulbr01,,SG,29.760439,,0.2,0.2,0.2,0.2,0.0,0.9,ROTATION PLAYER
Josh Gray,grayjo01,,PG,27.397673,,0.4,0.1,0.1,0.2,0.1,0.9,<SHRUGGIE>
Mario Hezonja,hezonma01,,SF,25.935661,,0.1,0.2,0.2,0.2,0.2,0.9,SCRUB
MarShon Brooks,brookma01,,SG,32.016426,,0.5,0.2,0.1,0.1,0.0,0.8,ROTATION PLAYER
Kyle Collinsworth,colliky01,,SF,29.333334,,0.2,0.2,0.2,0.1,0.0,0.8,SCRUB
Mike James,jamesmi02,,PG,30.45859,,0.3,0.2,0.2,0.1,0.1,0.8,ROTATION PLAYER
Semi Ojeleye,ojelese01,Celtics,PF,26.160164,,0.2,0.2,0.2,0.1,0.2,0.8,SCRUB
LiAngelo Ball,ballli01,,SG,20.190281,1,-0.1,0.0,0.3,0.3,0.4,0.8,MARGINAL PROSPECT
Jamil Wilson,wilsoja02,,SF,30.198494,,0.3,0.1,0.2,0.1,0.2,0.8,SCRUB
Eric Gordon,gordoer01,Rockets,SG,32.104038,,0.5,0.2,0.0,0.0,0.0,0.8,SCRUB
Nik Stauskas,stausni01,Bucks,SG,27.321012,,0.2,0.2,0.2,0.2,0.1,0.8,SCRUB
Jay Scrubb,scrubja01,Clippers,SG,20.418892,1,-0.1,0.0,0.3,0.3,0.3,0.8,MARGINAL PROSPECT
Max Strus,strusma01,Heat,SG,23.90349,1,0.0,0.2,0.2,0.2,0.2,0.8,MARGINAL PROSPECT
Rodney Purvis,purviro01,,SG,26.965092,,0.1,0.1,0.2,0.2,0.2,0.8,SCRUB
Solomon Hill,hillso01,Hawks,SF,29.878166,,0.3,0.3,0.1,0.1,0.0,0.8,SCRUB
Jonah Bolden,boldejo01,,PF,25.084188,,0.1,0.2,0.3,0.2,0.1,0.8,SCRUB
Josh Hall,halljo01,,PF,20.317591,1,-0.3,-0.2,0.1,0.3,0.8,0.8,MARGINAL PROSPECT
Anthony Gill,gillan01,Wizards,PF,24.29295,1,0.0,0.1,0.2,0.2,0.3,0.8,MARGINAL PROSPECT
Kyle Korver,korveky01,,SF,39.879536,,0.7,0.1,0.0,-0.1,0.0,0.8,SCRAPPY VETERAN
Paul Eboua,ebouapa01,Heat,SF,20.963724,1,-0.1,0.0,0.2,0.3,0.3,0.7,MARGINAL PROSPECT
Sean McDermott,mcderse01,Grizzlies,SF,24.246407,1,0.0,0.1,0.2,0.2,0.2,0.7,MARGINAL PROSPECT
Kenny Wooten,wooteke01,Rockets,PF,21.795345,1,0.0,0.1,0.2,0.2,0.2,0.7,MARGINAL PROSPECT
Darrun Hilliard,hillida01,,SG,27.805613,,0.2,0.2,0.1,0.2,0.0,0.7,ROTATION PLAYER
Louis King,kinglo02,,SF,22.824093,1,-0.1,0.1,0.2,0.3,0.2,0.7,MARGINAL PROSPECT
Mamadi Diakite,diakima01,Bucks,PF,24.030115,1,-0.1,0.1,0.2,0.2,0.3,0.7,MARGINAL PROSPECT
Jeff Green,greenje02,Nets,PF,34.431213,,0.5,0.2,0.1,0.0,0.0,0.7,SCRUB
Lucas Nogueira,noguelu01,,C,28.520191,,0.2,0.2,0.1,0.1,0.1,0.7,DEFENSIVE SPECIALIST
Keandre Cook,cookke01,Hornets,SG,23.75633,1,0.0,0.1,0.2,0.1,0.2,0.7,MARGINAL PROSPECT
Cassius Stanley,stanlca01,Pacers,SG,21.459274,1,-0.4,-0.1,0.2,0.4,0.6,0.7,MARGINAL PROSPECT
Joakim Noah,noahjo01,,C,35.934292,,0.4,0.1,0.1,0.1,0.0,0.7,SCRAPPY VETERAN
Bonzie Colson,colsobo01,,PF,25.05681,,0.0,0.1,0.2,0.2,0.1,0.7,SCRUB
Keljin Blevins,blevike01,Trail Blazers,SF,24.190966,1,0.0,0.1,0.2,0.2,0.2,0.7,MARGINAL PROSPECT
Jake Toolson,toolsja01,Jazz,SG,24.908966,1,0.0,0.1,0.2,0.1,0.2,0.6,MARGINAL PROSPECT
Jarrod Uthoff,uthofja01,Pelicans,PF,23.70705,1,0.0,0.1,0.2,0.2,0.2,0.6,MARGINAL PROSPECT
Yante Maten,matenya01,,PF,25.466803,1,0.3,-0.1,0.2,0.0,0.3,0.6,MARGINAL PROSPECT
Ty Lawson,lawsoty01,,PG,33.248459,,0.4,0.1,0.1,0.0,0.0,0.6,ROTATION PLAYER
Zylan Cheatham,cheatzy01,,PF,26.208076,1,0.1,0.2,0.1,0.2,0.1,0.6,MARGINAL PROSPECT
Jamel Artis,artisja01,,SG,28.054756,,0.1,0.1,0.1,0.2,0.0,0.6,SCRUB
Chris McCullough,mcculch01,,PF,25.990417,,0.1,0.2,0.1,0.1,0.1,0.6,SCRUB
Ed Davis,davised01,Timberwolves,C,31.660507,,0.3,0.3,0.0,0.0,0.0,0.6,DEFENSIVE SPECIALIST
Marlon Taylor,tayloma02,Wizards,SG,23.463381,1,0.0,0.1,0.2,0.1,0.1,0.6,MARGINAL PROSPECT
D.J. Augustin,augusdj01,Bucks,PG,33.229294,,0.4,0.2,0.0,0.0,0.0,0.6,SCRUB
Rajon Rondo,rondora01,Hawks,PG,34.943188,,0.4,0.0,0.1,0.1,0.1,0.6,SCRUB
Luke Kornet,kornelu01,Bulls,PF,25.552361,,0.1,0.2,0.2,0.1,0.1,0.6,SCRUB
Rodney McGruder,mcgruro01,Pistons,SG,29.514032,,0.1,0.2,0.1,0.1,0.0,0.6,SCRUB
Omer Yurtseven,yurtsom01,,C,22.62286,1,-0.1,0.0,0.1,0.2,0.3,0.6,MARGINAL PROSPECT
Marial Shayok,shayoma01,,SF,26.520191,1,0.0,0.2,0.2,0.2,0.1,0.6,MARGINAL PROSPECT
Emmanuel Mudiay,mudiaem01,,PG,24.911705,,-0.1,0.1,0.2,0.2,0.2,0.6,PROJECT
Julyan Stone,stoneju01,,SG,32.15332,,0.2,0.2,0.1,0.1,-0.1,0.6,<SHRUGGIE>
CJ Miles,milescj01,,SF,33.878166,,0.3,0.1,0.0,0.0,0.0,0.6,SCRUB
John Jenkins,jenkijo01,,SG,29.91102,,0.2,0.1,0.1,0.1,0.0,0.5,SCRUB
Courtney Lee,leeco01,Mavericks,SG,35.331963,,0.4,0.1,0.0,0.0,0.0,0.5,SCRAPPY VETERAN
Ray Spalding,spaldra01,,PF,23.895962,,0.0,0.1,0.1,0.2,0.1,0.5,PROJECT
Justin Jackson,jacksju01,Thunder,SF,25.850786,,0.0,0.2,0.2,0.1,0.1,0.5,SCRUB
Jeremy Lin,linje01,,PG,32.443531,,0.3,0.1,0.0,0.1,0.1,0.5,SCRUB
Kenneth Faried,farieke01,,PF,31.203285,,0.3,0.2,0.1,0.0,0.0,0.5,SCRUB
Javin DeLaurier,delauja01,Hornets,PF,22.822723,1,0.0,0.0,0.2,0.2,0.2,0.5,MARGINAL PROSPECT
Vincent Poirier,poirivi01,76ers,C,27.293634,,0.1,0.2,0.1,0.1,0.1,0.5,DEFENSIVE SPECIALIST
Meyers Leonard,leoname01,Heat,C,28.93087,,0.1,0.2,0.1,0.1,0.0,0.5,SCRUB
Jacob Evans,evansja02,,SG,23.624914,,-0.3,0.1,0.2,0.3,0.2,0.5,PROJECT
Kyle Alexander,alexaky01,,C,23.281998,1,0.0,0.0,0.2,0.1,0.2,0.5,MARGINAL PROSPECT
Nene,hilarne01,,C,38.387405,,0.4,0.0,0.0,0.0,0.0,0.5,SCRAPPY VETERAN
Kyle O'Quinn,oquinky01,,C,30.855577,,0.3,0.2,0.1,0.0,-0.1,0.5,SCRUB
Dakari Johnson,johnsda04,,C,25.363449,,0.0,0.2,0.1,0.1,0.0,0.5,DEFENSIVE SPECIALIST
Jack Cooley,cooleja01,,PF,29.831623,,0.1,0.2,0.2,0.1,0.0,0.5,SCRUB
Brian Bowen,bowenbr02,Pacers,SF,21.335386,1,-0.1,0.0,0.2,0.2,0.2,0.5,MARGINAL PROSPECT
Alec Peters,peteral01,,PF,25.806982,,0.1,0.2,0.1,0.1,0.0,0.5,SCRUB
Raymond Felton,feltora01,,PG,36.602325,,0.3,0.1,0.0,0.0,0.0,0.5,SCRAPPY VETERAN
E.J. Montgomery,montgej01,Bucks,PF,21.390829,1,-0.1,0.0,0.1,0.2,0.2,0.5,MARGINAL PROSPECT
Greg Whittington,whittgr01,Nuggets,PF,22.956194,1,0.0,0.0,0.2,0.1,0.1,0.5,MARGINAL PROSPECT
Simisola Shittu,shittsi01,Bulls,PF,20.235455,1,-0.4,-0.1,0.0,0.4,0.5,0.4,MARGINAL PROSPECT
Robert Franks,frankro01,Magic,PF,23.121149,1,-0.1,0.1,0.1,0.2,0.1,0.4,MARGINAL PROSPECT
Travis Wear,weartr01,,SF,30.365503,,0.2,0.0,0.1,0.1,0.0,0.4,SCRUB
DeMarre Carroll,carrode01,,SF,34.518822,,0.3,0.1,0.0,0.0,0.0,0.4,SCRUB
Devonte Patterson,pattede01,Mavericks,SF,25.059547,1,0.0,0.1,0.1,0.1,0.1,0.4,MARGINAL PROSPECT
Emeka Okafor,okafoem01,,C,38.346336,,0.3,0.0,0.1,0.0,0.0,0.4,SCRAPPY VETERAN
Jordan Mickey,mickejo01,,PF,26.568104,,0.1,0.1,0.1,0.1,0.1,0.4,SCRUB
Jarrell Brantley,brantja01,Jazz,PF,24.654346,,-0.1,0.1,0.2,0.2,0.1,0.4,PROJECT
Amida Brimah,brimaam01,Pacers,C,23.973307,1,0.0,0.0,0.1,0.1,0.2,0.4,MARGINAL PROSPECT
Jared Dudley,dudleja01,Lakers,PF,35.564682,,0.3,0.1,0.0,0.0,0.0,0.4,SCRAPPY VETERAN
Milos Teodosic,teodomi01,,PG,33.875427,,0.1,0.1,0.0,0.0,0.1,0.4,SCRUB
Aleksa Radanov,aleksa-radanov-1,,SG,23.000685,1,-0.1,0.1,0.1,0.1,0.1,0.4,MARGINAL PROSPECT
Nate Sestina,sestina01,,C,23.726215,1,0.0,0.0,0.1,0.1,0.1,0.4,MARGINAL PROSPECT
Tariq Owens,owensta01,,PF,24.59343,1,0.0,0.0,0.1,0.1,0.2,0.4,MARGINAL PROSPECT
Willy Hernangomez,hernawi01,Pelicans,C,26.685831,,0.0,0.1,0.1,0.1,0.1,0.4,SCRUB
Mario Chalmers,chalmma01,,PG,34.707733,,0.2,0.0,0.0,0.1,0.0,0.3,SCRUB
Troy Daniels,danietr01,,SF,29.552361,,0.1,0.1,0.0,0.1,0.0,0.3,SCRUB
Wilson Chandler,chandwi01,,SF,33.733059,,0.3,0.1,0.0,0.0,0.0,0.3,SCRUB
Michael Beasley,beaslmi01,,PF,32.062969,,0.2,0.1,0.0,0.0,0.0,0.3,SCRUB
Devin Harris,harride01,,PG,37.930183,,0.2,0.1,0.0,0.0,0.0,0.3,WAY PAST HIS PRIME
Chimezie Metu,metuch01,Kings,C,23.865845,,0.0,0.1,0.0,0.2,0.1,0.3,PROJECT
Ramon Sessions,sessira01,,PG,34.811771,,0.1,0.0,0.0,0.1,0.0,0.3,SCRUB
Ish Smith,smithis01,Wizards,PG,32.577686,,0.3,0.0,0.1,0.0,0.0,0.3,SCRUB
Nick Young,youngni01,,SG,35.671459,,0.2,0.1,0.0,0.0,0.0,0.3,SCRAPPY VETERAN
Brandon Knight,knighbr03,,PG,29.169062,,0.0,0.1,0.1,0.1,0.0,0.3,SCRUB
C.J. Williams,willicj01,,SG,30.986996,,0.1,0.1,0.1,0.0,0.0,0.3,SCRUB
JaMychal Green,greenja01,Nuggets,PF,30.617386,,0.2,0.1,0.1,0.0,-0.1,0.3,SCRUB
Thabo Sefolosha,sefolth01,,SF,36.752911,,0.2,0.0,0.0,0.0,0.0,0.3,DEFENSIVE SPECIALIST
J.J. Barea,bareajo01,,PG,36.602325,,0.3,0.0,-0.1,0.0,0.0,0.3,OFFENSIVE SPECIALIST
Michael Frazier,frazimi01,,SG,26.90486,,-0.1,0.1,0.0,0.1,0.2,0.3,SCRUB
William Howard,howarwi01,,SF,22.271732,1,-0.1,-0.1,0.1,0.1,0.3,0.3,MARGINAL PROSPECT
Malcolm Delaney,delanma01,,PG,31.895962,,0.1,0.1,0.0,0.0,0.0,0.3,SCRUB
James Nunnally,nunnaja01,,SF,30.554415,,0.1,0.1,0.1,0.0,0.0,0.3,SCRUB
Gerald Green,greenge01,Rockets,SG,35.017113,,0.1,0.0,0.1,0.0,0.0,0.3,WAY PAST HIS PRIME
Isaiah Hicks,hicksis01,,PF,26.527037,,0.1,0.1,0.1,0.0,0.0,0.2,SCRUB
James Webb III,webbja01,,SF,27.455168,,0.2,0.1,0.0,0.0,0.0,0.2,SCRUB
Dwight Buycks,buyckdw01,,PG,31.909651,,0.1,0.1,0.0,0.0,0.0,0.2,SCRUB
Louis Olinde,louis-olinde-1,,SF,22.877481,1,-0.1,0.1,0.1,0.0,0.1,0.2,MARGINAL PROSPECT
Axel Toupane,toupaax01,Warriors,SF,23.528406,1,0.0,0.1,0.1,0.0,0.1,0.2,MARGINAL PROSPECT
Ante Zizic,zizican01,,C,24.07666,,-0.1,0.0,0.1,0.1,0.1,0.2,PROJECT
Jameer Nelson,nelsoja01,,PG,38.978783,,0.2,0.0,0.0,0.0,0.0,0.2,SCRAPPY VETERAN
Josh Huestis,huestjo01,,PF,29.122519,,0.1,0.1,0.0,0.0,-0.1,0.2,SCRUB
Tyson Chandler,chandty01,,C,38.335388,,0.2,0.0,0.1,0.0,0.0,0.2,DEFENSIVE SPECIALIST
Greg Monroe,monrogr01,,C,30.663929,,0.2,0.1,0.1,0.0,-0.1,0.2,SCRUB
Shelvin Mack,macksh01,,PG,30.781656,,0.1,0.0,0.1,0.0,0.0,0.2,SCRUB
Quincy Pondexter,pondequ01,,SF,32.898014,,0.2,0.0,0.1,0.0,0.0,0.2,SCRUB
Amile Jefferson,jeffeam01,Celtics,PF,27.739904,,0.1,0.0,0.1,0.0,0.0,0.2,SCRUB
Brodric Thomas,thomabr01,Rockets,SG,24.010952,1,0.0,0.1,0.1,0.0,0.0,0.2,MARGINAL PROSPECT
Andrew White III,whitean01,,SF,27.63039,,0.0,0.0,0.1,0.1,0.0,0.2,SCRUB
Luke Babbitt,babbilu01,,SF,31.619438,,0.1,0.1,0.0,0.0,0.0,0.2,SCRUB
Quinn Cook,cookqu01,Lakers,SG,27.863108,,-0.1,0.0,0.1,0.1,0.0,0.1,SCRUB
John Holland,hollajo02,,SF,32.238194,,0.1,0.1,0.0,0.0,0.0,0.1,SCRUB
DeAndre Jordan,jordade01,Nets,C,32.533882,,0.7,0.0,-0.4,-0.1,-0.1,0.1,SCRUB
Kylor Kelley,kylor-kelley-1,,C,23.436003,1,-0.1,0.0,0.1,0.0,0.1,0.1,MARGINAL PROSPECT
Joe Johnson,johnsjo02,,SF,39.594799,,0.2,0.0,0.0,-0.1,0.0,0.1,SCRAPPY VETERAN
Ivan Rabb,rabbiv01,,PF,23.991787,,-0.1,0.0,0.0,0.1,0.0,0.1,PROJECT
Damian Jones,jonesda03,Suns,C,25.59343,,0.0,0.0,0.2,0.0,-0.1,0.1,SCRUB
James Johnson,johnsja01,Mavericks,PF,33.949348,,0.1,0.0,0.0,-0.1,0.0,0.1,SCRUB
Quincy Acy,acyqu01,,PF,30.324436,,0.1,0.0,0.0,0.0,0.0,0.1,SCRUB
Andre Ingram,ingraan01,,SG,35.203285,,0.1,0.0,0.0,0.0,0.0,0.1,WAY PAST HIS PRIME
Mike Scott,scottmi01,76ers,PF,32.547569,,0.2,0.0,0.0,0.0,0.0,0.1,SCRUB
Deonte Burton,burtode02,,SG,27.003422,,-0.2,0.0,0.0,0.1,0.1,0.1,SCRUB
Ekpe Udoh,udohek01,,C,33.705681,,0.1,0.0,0.0,0.0,0.0,0.1,DEFENSIVE SPECIALIST
Dairis Bertans,bertada02,,SG,31.397673,,0.0,0.1,0.0,0.0,0.0,0.1,SCRUB
Keita Bates-Diop,bateske01,Spurs,PF,25.026693,,-0.2,0.0,0.1,0.1,0.1,0.1,SCRUB
DeAndre Liggins,liggide01,,SG,32.840519,,0.1,0.0,0.0,0.0,0.0,0.1,SCRUB
Trevon Scott,tre-scott-1,Jazz,SF,24.1861739,1,-0.1,0.0,0.1,0.0,0.1,0.1,MARGINAL PROSPECT
Jarrett Jack,jackja01,,PG,37.264889,,0.0,0.0,0.0,0.0,0.0,0.0,WAY PAST HIS PRIME
Jamal Crawford,crawfja01,,SG,40.870636,,0.2,0.1,-0.2,0.0,0.0,0.0,SCRAPPY VETERAN
